res_15_gp_id,block,gp,district,merge10gp
1115,gangiri,phushavali,aligarh,0
1116,gangiri,pipaloi,aligarh,0
1117,gangiri,puraini ismailpur,aligarh,0
1118,gangiri,rahamapur,aligarh,0
1119,gangiri,rajmau,aligarh,0
1120,gangiri,rampur,aligarh,0
1121,gangiri,ruukhaala,aligarh,0
1122,gangiri,salganva,aligarh,0
1123,gangiri,samaunatatarpur,aligarh,0
1124,gangiri,satrapur,aligarh,0
1125,gangiri,shadipur kamroua,aligarh,0
1126,gangiri,shahjahanbaad,aligarh,0
1127,gangiri,shahjahanpur baujana,aligarh,0
1128,gangiri,sidhauli kala,aligarh,0
1129,gangiri,sihavali,aligarh,0
1130,gangiri,sikharana,aligarh,0
1131,gangiri,siroli,aligarh,0
1132,gangiri,sunaharaa,aligarh,0
1133,gangiri,sunapahar,aligarh,0
1134,gangiri,tandoli,aligarh,0
1135,gangiri,tikri,aligarh,0
1136,gangiri,tikta,aligarh,0
1137,gangiri,uthra,aligarh,0
1138,gangiri,visora,aligarh,0
1151,gonda,daantu,aligarh,0
1160,gonda,hasangarh,aligarh,0
1169,gonda,kuagaanv,aligarh,0
1177,gonda,mumreja,aligarh,0
1186,gonda,nagala maadho,aligarh,0
1190,gonda,pipli,aligarh,0
1208,iglas,bahadurpur,aligarh,0
1227,iglas,kaan chiruliya,aligarh,0
1250,iglas,rampur,aligarh,0
1273,javaan,alampur subakra,aligarh,0
1279,javaan,bhawine,aligarh,0
1285,javaan,daheli,aligarh,0
1292,javaan,faridpur tatargadhi,aligarh,0
1300,javaan,jangalgadhi,aligarh,0
1311,javaan,kherupura,aligarh,0
1316,javaan,maheshpur,aligarh,0
1320,javaan,mirzapur siya,aligarh,0
1323,javaan,padaka sultanpur,aligarh,0
1326,javaan,partapur,aligarh,0
1332,javaan,raipur,aligarh,0
1335,javaan,ramnagar,aligarh,0
1337,javaan,rathgov,aligarh,0
1357,javaan,vajagadhi,aligarh,0
1360,khayr,ahraula,aligarh,0
1361,khayr,ainchanaa,aligarh,0
1362,khayr,akaravat,aligarh,0
1363,khayr,andla,aligarh,0
1364,khayr,arni,aligarh,0
1365,khayr,arrana,aligarh,0
1366,khayr,baamani,aligarh,0
1367,khayr,bajidpur,aligarh,0
1368,khayr,balipur,aligarh,0
1369,khayr,bazeda,aligarh,0
1370,khayr,bhamraula,aligarh,0
1371,khayr,bhanauli,aligarh,0
1372,khayr,bharairi,aligarh,0
1373,khayr,bhogpur,aligarh,0
1374,khayr,bilakhura,aligarh,0
1375,khayr,biraula,aligarh,0
1376,khayr,boconer,aligarh,0
1377,khayr,chaman nagariyaa,aligarh,0
1378,khayr,chiti,aligarh,0
1379,khayr,choudhana,aligarh,0
1380,khayr,choumuha,aligarh,0
1381,khayr,dhumara,aligarh,0
1382,khayr,divahamidpur,aligarh,0
1383,khayr,edalpur,aligarh,0
1384,khayr,fatehgadi,aligarh,0
1385,khayr,gadhi shyoram,aligarh,0
1386,khayr,gaudoli,aligarh,0
1387,khayr,gomat,aligarh,0
1388,khayr,ismailpur,aligarh,0
1389,khayr,jaraara,aligarh,0
1390,khayr,kasisau,aligarh,0
1391,khayr,kheda,aligarh,0
1392,khayr,khedasattu,aligarh,0
1393,khayr,kiratpur,aligarh,0
1394,khayr,korh rustampur,aligarh,0
1395,khayr,lakshmanagadhi,aligarh,0
1396,khayr,lohagarh,aligarh,0
1397,khayr,madanpur,aligarh,0
1398,khayr,madhahabibpur,aligarh,0
1399,khayr,magola,aligarh,0
1400,khayr,mahagaura,aligarh,0
1401,khayr,manpur khurd,aligarh,0
1402,khayr,mathna,aligarh,0
1403,khayr,mau,aligarh,0
1404,khayr,mirpur dahauda,aligarh,0
1405,khayr,mousanpur,aligarh,0
1406,khayr,nagaula,aligarh,0
1407,khayr,naharaula,aligarh,0
1408,khayr,namela,aligarh,0
1409,khayr,nandpurpalaan,aligarh,0
1410,khayr,narainpur,aligarh,0
1411,khayr,nayal,aligarh,0
1412,khayr,palaa salalu,aligarh,0
1413,khayr,palaod,aligarh,0
1414,khayr,pipalgaam,aligarh,0
1415,khayr,raajpur,aligarh,0
1416,khayr,rasulpur,aligarh,0
1417,khayr,resri,aligarh,0
1418,khayr,rit,aligarh,0
1419,khayr,sabhapur,aligarh,0
1420,khayr,sahroi,aligarh,0
1421,khayr,sajnaa,aligarh,0
1422,khayr,sangrampur,aligarh,0
1423,khayr,shivala,aligarh,0
1424,khayr,sopha,aligarh,0
1425,khayr,sujanpur,aligarh,0
1426,khayr,sujapur,aligarh,0
1427,khayr,tehra,aligarh,0
1428,khayr,udaigadhi,aligarh,0
1429,khayr,usaram,aligarh,0
1430,khayr,utwaaraa,aligarh,0
1431,khayr,viharipur,aligarh,0
1432,khayr,virampur,aligarh,0
1435,lodha,alahadadpur gadia,aligarh,0
1469,lodha,hajipur chuhatta,aligarh,0
1486,lodha,khediyakhwajabuddha,aligarh,0
1488,lodha,kothia,aligarh,0
1494,lodha,madraa,aligarh,0
1515,lodha,rustampur naimabad,aligarh,0
1532,tappal,bainaa,aligarh,0
1543,tappal,concera,aligarh,0
1584,tappal,pulseda,aligarh,0
1602,akbarpur,alampur akhi,ambedkar nagar,0
1607,akbarpur,andhiyaravaan,ambedkar nagar,0
1614,akbarpur,bahoricpur,ambedkar nagar,0
1617,akbarpur,baraura,ambedkar nagar,0
1623,akbarpur,bhagautipur,ambedkar nagar,0
1637,akbarpur,fatepur,ambedkar nagar,0
1639,akbarpur,ghurhoopur,ambedkar nagar,0
1649,akbarpur,itarora,ambedkar nagar,0
1657,akbarpur,kajri nandapur,ambedkar nagar,0
1664,akbarpur,khanjahanpur,ambedkar nagar,0
1666,akbarpur,khasapur dadupattee,ambedkar nagar,0
1669,akbarpur,kurchaa,ambedkar nagar,0
1674,akbarpur,mahamudpur,ambedkar nagar,0
1675,akbarpur,majiyaari athvara,ambedkar nagar,0
1693,akbarpur,paras katui,ambedkar nagar,0
1694,akbarpur,pirpur,ambedkar nagar,0
1695,akbarpur,qayamuddinpur,ambedkar nagar,0
1710,akbarpur,salahuddinpur,ambedkar nagar,0
1711,akbarpur,samaisa khan,ambedkar nagar,0
1714,akbarpur,sangrampur,ambedkar nagar,0
1717,akbarpur,sihamau molnapur,ambedkar nagar,0
1745,basakhaari,bibipur,ambedkar nagar,0
1767,basakhaari,kodra,ambedkar nagar,0
1769,basakhaari,makhdumnagar,ambedkar nagar,0
1771,basakhaari,malikpur,ambedkar nagar,0
1774,basakhaari,mohammadpur musalmaan,ambedkar nagar,0
1796,basakhaari,singhpur,ambedkar nagar,0
1797,basakhaari,sonhan,ambedkar nagar,0
1799,basakhaari,tandva darab,ambedkar nagar,0
1803,basakhaari,umarapur,ambedkar nagar,0
1813,bhiti,basoopur baniyaani,ambedkar nagar,0
1815,bhiti,bathua,ambedkar nagar,0
1827,bhiti,daaridiha,ambedkar nagar,0
1829,bhiti,darbpur,ambedkar nagar,0
1833,bhiti,goitha,ambedkar nagar,0
1838,bhiti,jaitpur khaas,ambedkar nagar,0
1840,bhiti,jaitupur,ambedkar nagar,0
1848,bhiti,kichhuti,ambedkar nagar,0
1853,bhiti,mahamudpur,ambedkar nagar,0
1857,bhiti,medva raghuvanshi,ambedkar nagar,0
1862,bhiti,nagahara,ambedkar nagar,0
1871,bhiti,pichhawaara khaas,ambedkar nagar,0
1876,bhiti,raniva rudu,ambedkar nagar,0
1882,bhiti,sammanpur chhituniya,ambedkar nagar,0
1883,bhiti,sanjwa,ambedkar nagar,0
1884,bhiti,saraijangal,ambedkar nagar,0
1889,bhiti,siganvan purushottam pattee,ambedkar nagar,0
1893,bhiti,thariyakala,ambedkar nagar,0
1896,bhiti,vangov,ambedkar nagar,0
1898,bhiyaanv,ahiroli,ambedkar nagar,0
1899,bhiyaanv,ajamalpur,ambedkar nagar,0
1900,bhiyaanv,amadaheen,ambedkar nagar,0
1901,bhiyaanv,ambarpur,ambedkar nagar,0
1902,bhiyaanv,ashapar,ambedkar nagar,0
1903,bhiyaanv,babura,ambedkar nagar,0
1904,bhiyaanv,bandipur,ambedkar nagar,0
1905,bhiyaanv,barauna,ambedkar nagar,0
1906,bhiyaanv,begikol,ambedkar nagar,0
1907,bhiyaanv,berga,ambedkar nagar,0
1908,bhiyaanv,berma,ambedkar nagar,0
1909,bhiyaanv,bheekhpur khurd,ambedkar nagar,0
1910,bhiyaanv,bhitaura dakshin,ambedkar nagar,0
1911,bhiyaanv,bhiyaanw,ambedkar nagar,0
1912,bhiyaanv,bhujaagi,ambedkar nagar,0
1913,bhiyaanv,bibipur,ambedkar nagar,0
1914,bhiyaanv,bodara,ambedkar nagar,0
1915,bhiyaanv,chakiya,ambedkar nagar,0
1916,bhiyaanv,chakura,ambedkar nagar,0
1917,bhiyaanv,channpur,ambedkar nagar,0
1918,bhiyaanv,chaudaaprash,ambedkar nagar,0
1919,bhiyaanv,daulatabad,ambedkar nagar,0
1920,bhiyaanv,dhakha,ambedkar nagar,0
1921,bhiyaanv,dinakarpur,ambedkar nagar,0
1922,bhiyaanv,dulhoopurkala,ambedkar nagar,0
1923,bhiyaanv,eendhana,ambedkar nagar,0
1924,bhiyaanv,fatepur manikpur,ambedkar nagar,0
1925,bhiyaanv,garopur,ambedkar nagar,0
1926,bhiyaanv,gaura paliwari,ambedkar nagar,0
1927,bhiyaanv,gauribadah,ambedkar nagar,0
1928,bhiyaanv,gopri chandpur,ambedkar nagar,0
1929,bhiyaanv,govindpur,ambedkar nagar,0
1930,bhiyaanv,hafizpur,ambedkar nagar,0
1931,bhiyaanv,jagadishpur kapileshwar,ambedkar nagar,0
1932,bhiyaanv,jaitpur,ambedkar nagar,0
1933,bhiyaanv,jameen surajoopur,ambedkar nagar,0
1934,bhiyaanv,jolhapur,ambedkar nagar,0
1935,bhiyaanv,karimnagar,ambedkar nagar,0
1936,bhiyaanv,khanpur husainabad,ambedkar nagar,0
1937,bhiyaanv,kishnupur kavirahaan,ambedkar nagar,0
1938,bhiyaanv,kishundaspur,ambedkar nagar,0
1939,bhiyaanv,lakhmipur,ambedkar nagar,0
1940,bhiyaanv,laviya,ambedkar nagar,0
1941,bhiyaanv,madhavpur,ambedkar nagar,0
1942,bhiyaanv,madhwarpur,ambedkar nagar,0
