district,block,res_15_gp,res_15_gp_id,merge10gp,res_10_gp,res_10_gp_id,res_10_block
aligarh,gangiri,jajathal,1092,0,,,
aligarh,gangiri,jiroli,1093,0,,,
aligarh,gangiri,kakabegpur,1094,0,,,
aligarh,gangiri,kanauvi,1095,0,,,
aligarh,gangiri,kaser,1096,0,,,
aligarh,gangiri,kasimpur,1097,0,,,
aligarh,gangiri,khersa,1098,0,,,
aligarh,gangiri,madapur,1099,0,,,
aligarh,gangiri,majhola,1100,0,,,
aligarh,gangiri,makhdumnagar,1101,0,,,
aligarh,gangiri,malsai,1102,0,,,
aligarh,gangiri,manaina,1103,0,,,
aligarh,gangiri,maoopur bahadurpur,1104,0,,,
aligarh,gangiri,mohakampur,1105,0,,,
aligarh,gangiri,moodhail,1106,0,,,
aligarh,gangiri,naah,1107,0,,,
aligarh,gangiri,naugavaan,1108,0,,,
aligarh,gangiri,nausha,1109,0,,,
aligarh,gangiri,navipur,1110,0,,,
aligarh,gangiri,ninaamai ogipur,1111,0,,,
aligarh,gangiri,padra navavpur,1112,0,,,
aligarh,gangiri,paharipur,1113,0,,,
aligarh,gangiri,parora,1114,0,,,
aligarh,gangiri,phushavali,1115,0,,,
aligarh,gangiri,pipaloi,1116,0,,,
aligarh,gangiri,puraini ismailpur,1117,0,,,
aligarh,gangiri,rahamapur,1118,0,,,
aligarh,gangiri,rajmau,1119,0,,,
aligarh,gangiri,rampur,1120,0,,,
aligarh,gangiri,ruukhaala,1121,0,,,
aligarh,gangiri,salganva,1122,0,,,
aligarh,gangiri,samaunatatarpur,1123,0,,,
aligarh,gangiri,satrapur,1124,0,,,
aligarh,gangiri,shadipur kamroua,1125,0,,,
aligarh,gangiri,shahjahanbaad,1126,0,,,
aligarh,gangiri,shahjahanpur baujana,1127,0,,,
aligarh,gangiri,sidhauli kala,1128,0,,,
aligarh,gangiri,sihavali,1129,0,,,
aligarh,gangiri,sikharana,1130,0,,,
aligarh,gangiri,siroli,1131,0,,,
aligarh,gangiri,sunaharaa,1132,0,,,
aligarh,gangiri,sunapahar,1133,0,,,
aligarh,gangiri,tandoli,1134,0,,,
aligarh,gangiri,tikri,1135,0,,,
aligarh,gangiri,tikta,1136,0,,,
aligarh,gangiri,uthra,1137,0,,,
aligarh,gangiri,visora,1138,0,,,
aligarh,gonda,daantu,1151,0,,,
aligarh,gonda,hasangarh,1160,0,,,
aligarh,gonda,kuagaanv,1169,0,,,
aligarh,gonda,mumreja,1177,0,,,
aligarh,gonda,nagala maadho,1186,0,,,
aligarh,gonda,pipli,1190,0,,,
aligarh,iglas,bahadurpur,1208,0,,,
aligarh,iglas,kaan chiruliya,1227,0,,,
aligarh,iglas,rampur,1250,0,,,
aligarh,javaan,alampur subakra,1273,0,,,
aligarh,javaan,bhawine,1279,0,,,
aligarh,javaan,daheli,1285,0,,,
aligarh,javaan,faridpur tatargadhi,1292,0,,,
aligarh,javaan,jangalgadhi,1300,0,,,
aligarh,javaan,kherupura,1311,0,,,
aligarh,javaan,maheshpur,1316,0,,,
aligarh,javaan,mirzapur siya,1320,0,,,
aligarh,javaan,padaka sultanpur,1323,0,,,
aligarh,javaan,partapur,1326,0,,,
aligarh,javaan,raipur,1332,0,,,
aligarh,javaan,ramnagar,1335,0,,,
aligarh,javaan,rathgov,1337,0,,,
aligarh,javaan,vajagadhi,1357,0,,,
aligarh,khayr,ahraula,1360,0,,,
aligarh,khayr,ainchanaa,1361,0,,,
aligarh,khayr,akaravat,1362,0,,,
aligarh,khayr,andla,1363,0,,,
aligarh,khayr,arni,1364,0,,,
aligarh,khayr,arrana,1365,0,,,
aligarh,khayr,baamani,1366,0,,,
aligarh,khayr,bajidpur,1367,0,,,
aligarh,khayr,balipur,1368,0,,,
aligarh,khayr,bazeda,1369,0,,,
aligarh,khayr,bhamraula,1370,0,,,
aligarh,khayr,bhanauli,1371,0,,,
aligarh,khayr,bharairi,1372,0,,,
aligarh,khayr,bhogpur,1373,0,,,
aligarh,khayr,bilakhura,1374,0,,,
aligarh,khayr,biraula,1375,0,,,
aligarh,khayr,boconer,1376,0,,,
aligarh,khayr,chaman nagariyaa,1377,0,,,
aligarh,khayr,chiti,1378,0,,,
aligarh,khayr,choudhana,1379,0,,,
aligarh,khayr,choumuha,1380,0,,,
aligarh,khayr,dhumara,1381,0,,,
aligarh,khayr,divahamidpur,1382,0,,,
aligarh,khayr,edalpur,1383,0,,,
aligarh,khayr,fatehgadi,1384,0,,,
aligarh,khayr,gadhi shyoram,1385,0,,,
aligarh,khayr,gaudoli,1386,0,,,
aligarh,khayr,gomat,1387,0,,,
aligarh,khayr,ismailpur,1388,0,,,
aligarh,khayr,jaraara,1389,0,,,
aligarh,khayr,kasisau,1390,0,,,
aligarh,khayr,kheda,1391,0,,,
aligarh,khayr,khedasattu,1392,0,,,
aligarh,khayr,kiratpur,1393,0,,,
aligarh,khayr,korh rustampur,1394,0,,,
aligarh,khayr,lakshmanagadhi,1395,0,,,
aligarh,khayr,lohagarh,1396,0,,,
aligarh,khayr,madanpur,1397,0,,,
aligarh,khayr,madhahabibpur,1398,0,,,
aligarh,khayr,magola,1399,0,,,
aligarh,khayr,mahagaura,1400,0,,,
aligarh,khayr,manpur khurd,1401,0,,,
aligarh,khayr,mathna,1402,0,,,
aligarh,khayr,mau,1403,0,,,
aligarh,khayr,mirpur dahauda,1404,0,,,
aligarh,khayr,mousanpur,1405,0,,,
aligarh,khayr,nagaula,1406,0,,,
aligarh,khayr,naharaula,1407,0,,,
aligarh,khayr,namela,1408,0,,,
aligarh,khayr,nandpurpalaan,1409,0,,,
aligarh,khayr,narainpur,1410,0,,,
aligarh,khayr,nayal,1411,0,,,
aligarh,khayr,palaa salalu,1412,0,,,
aligarh,khayr,palaod,1413,0,,,
aligarh,khayr,pipalgaam,1414,0,,,
aligarh,khayr,raajpur,1415,0,,,
aligarh,khayr,rasulpur,1416,0,,,
aligarh,khayr,resri,1417,0,,,
aligarh,khayr,rit,1418,0,,,
aligarh,khayr,sabhapur,1419,0,,,
aligarh,khayr,sahroi,1420,0,,,
aligarh,khayr,sajnaa,1421,0,,,
aligarh,khayr,sangrampur,1422,0,,,
aligarh,khayr,shivala,1423,0,,,
aligarh,khayr,sopha,1424,0,,,
aligarh,khayr,sujanpur,1425,0,,,
aligarh,khayr,sujapur,1426,0,,,
aligarh,khayr,tehra,1427,0,,,
aligarh,khayr,udaigadhi,1428,0,,,
aligarh,khayr,usaram,1429,0,,,
aligarh,khayr,utwaaraa,1430,0,,,
aligarh,khayr,viharipur,1431,0,,,
aligarh,khayr,virampur,1432,0,,,
aligarh,lodha,alahadadpur gadia,1435,0,,,
aligarh,lodha,hajipur chuhatta,1469,0,,,
aligarh,lodha,khediyakhwajabuddha,1486,0,,,
aligarh,lodha,kothia,1488,0,,,
aligarh,lodha,madraa,1494,0,,,
aligarh,lodha,rustampur naimabad,1515,0,,,
aligarh,tappal,bainaa,1532,0,,,
aligarh,tappal,concera,1543,0,,,
aligarh,tappal,pulseda,1584,0,,,
ambedkar nagar,akbarpur,alampur akhi,1602,0,,,
ambedkar nagar,akbarpur,andhiyaravaan,1607,0,,,
ambedkar nagar,akbarpur,bahoricpur,1614,0,,,
ambedkar nagar,akbarpur,baraura,1617,0,,,
ambedkar nagar,akbarpur,bhagautipur,1623,0,,,
ambedkar nagar,akbarpur,fatepur,1637,0,,,
ambedkar nagar,akbarpur,ghurhoopur,1639,0,,,
ambedkar nagar,akbarpur,itarora,1649,0,,,
ambedkar nagar,akbarpur,kajri nandapur,1657,0,,,
ambedkar nagar,akbarpur,khanjahanpur,1664,0,,,
ambedkar nagar,akbarpur,khasapur dadupattee,1666,0,,,
ambedkar nagar,akbarpur,kurchaa,1669,0,,,
ambedkar nagar,akbarpur,mahamudpur,1674,0,,,
ambedkar nagar,akbarpur,majiyaari athvara,1675,0,,,
ambedkar nagar,akbarpur,paras katui,1693,0,,,
ambedkar nagar,akbarpur,pirpur,1694,0,,,
ambedkar nagar,akbarpur,qayamuddinpur,1695,0,,,
ambedkar nagar,akbarpur,salahuddinpur,1710,0,,,
ambedkar nagar,akbarpur,samaisa khan,1711,0,,,
ambedkar nagar,akbarpur,sangrampur,1714,0,,,
ambedkar nagar,akbarpur,sihamau molnapur,1717,0,,,
ambedkar nagar,basakhaari,bibipur,1745,0,,,
ambedkar nagar,basakhaari,kodra,1767,0,,,
ambedkar nagar,basakhaari,makhdumnagar,1769,0,,,
ambedkar nagar,basakhaari,malikpur,1771,0,,,
ambedkar nagar,basakhaari,mohammadpur musalmaan,1774,0,,,
