block,gp,district,res_10_gp_id
achaneraa,babrud,agra,7
achaneraa,mangrolgujar,agra,31
achaneraa,seengna,agra,46
akola,bouman,agra,61
bah,baædos,agra,88
bah,beri,agra,89
bah,bithuli,agra,94
bah,chauncigi,agra,98
barauli ahir,bh.ædai,agra,138
barauli ahir,bisaurakala,agra,142
barauli ahir,hingotakheædaya,agra,153
barauli ahir,soumari,agra,183
etmadpur,boni,agra,221
fatehabad,swaara,agra,312
fatehpur sikri,bh.poor,agra,319
fatehpur sikri,mædoli,agra,344
khandauli,khanæda,agra,450
khandauli,kheædaya,agra,452
khandauli,soumara,agra,471
saunyaa,saura,agra,573
shamshabad,sevala gadholi kala,agra,622
akarabad,chitarauli,aligarh,654
atarauli,baujala mahalpur,aligarh,703
atarauli,khorabad,aligarh,745
chandaus,bhojpur gayanpur,aligarh,849
chandaus,mædaki,aligarh,880
gangori,abhyapur vahalolpur,aligarh,981
gangori,ajwaindher,aligarh,982
gangori,alahadadpur,aligarh,983
gangori,alampur fatehpur,aligarh,984
gangori,alampur rani,aligarh,985
gangori,arni,aligarh,986
gangori,bahadurpur rahachoi,aligarh,987
gangori,bajeedpur,aligarh,988
gangori,barauli,aligarh,989
gangori,barla,aligarh,990
gangori,baædhari bujurg,aligarh,991
gangori,bhaay,aligarh,992
gangori,bhamori bujrg,aligarh,993
gangori,bhauni,aligarh,994
gangori,bhuædiyarampur,aligarh,995
gangori,bilaunaa chitarasi,aligarh,996
gangori,boi khurd,aligarh,997
gangori,boikala,aligarh,998
gangori,boni,aligarh,999
gangori,buædhagaanv,aligarh,1000
gangori,chhabilpur,aligarh,1001
gangori,chharra rafaytpur,aligarh,1002
gangori,chitkura,aligarh,1003
gangori,datavali,aligarh,1004
gangori,dhansari,aligarh,1005
gangori,dorai,aligarh,1006
gangori,galibpur,aligarh,1007
gangori,gangiri,aligarh,1008
gangori,habibpur,aligarh,1009
gangori,hasanpur,aligarh,1010
gangori,hidaramai,aligarh,1011
gangori,husoupur dehamaafee,aligarh,1012
gangori,jajathal,aligarh,1013
gangori,jiroli,aligarh,1014
gangori,kakabegpur,aligarh,1015
gangori,kanauvi,aligarh,1016
gangori,kaser,aligarh,1017
gangori,kasimpur,aligarh,1018
gangori,khersa,aligarh,1019
gangori,madapur,aligarh,1020
gangori,majhola,aligarh,1021
gangori,makhdumpur,aligarh,1022
gangori,malsai,aligarh,1023
gangori,manauna ummedpur,aligarh,1024
gangori,maoopur bahadurpur,aligarh,1025
gangori,mohakampur pithanpur,aligarh,1026
gangori,muædhail,aligarh,1027
gangori,naah,aligarh,1028
gangori,naugavaan,aligarh,1029
gangori,nausha,aligarh,1030
gangori,navivapur,aligarh,1031
gangori,ninaamai ojipur,aligarh,1032
gangori,pahaædipur,aligarh,1033
gangori,pandra navavpur,aligarh,1034
gangori,parora,aligarh,1035
gangori,phushavali,aligarh,1036
gangori,pipaloi,aligarh,1037
gangori,puraini ismailpur,aligarh,1038
gangori,rahamapur,aligarh,1039
gangori,rajmau,aligarh,1040
gangori,ruukhaala,aligarh,1041
gangori,salganva,aligarh,1042
gangori,samaunatatarpur,aligarh,1043
gangori,satrapur,aligarh,1044
gangori,shadipur kamroua,aligarh,1045
gangori,shahjahanbaad,aligarh,1046
gangori,shahjahanpur baujana,aligarh,1047
gangori,sidhauli kala,aligarh,1048
gangori,sikharana,aligarh,1049
gangori,simhavali,aligarh,1050
gangori,siroli,aligarh,1051
gangori,sunaharaa,aligarh,1052
gangori,sunapahar,aligarh,1053
gangori,tandoli,aligarh,1054
gangori,tikri,aligarh,1055
gangori,tikta,aligarh,1056
gangori,uthra,aligarh,1057
gangori,visora,aligarh,1058
javaan,raipur (sunaamayi),aligarh,1232
javaan,rangavaan,aligarh,1236
javaan,tataragædhee,aligarh,1256
khor,ahraula,aligarh,1260
khor,ainchanaa,aligarh,1261
khor,akaravat,aligarh,1262
khor,andla,aligarh,1263
khor,arni,aligarh,1264
khor,arrana,aligarh,1265
khor,baamani,aligarh,1266
khor,bajidpur,aligarh,1267
khor,balipur,aligarh,1268
khor,bazeda,aligarh,1269
khor,bhamraula,aligarh,1270
khor,bhanauli,aligarh,1271
khor,bhogpur,aligarh,1272
khor,bilakhura,aligarh,1273
khor,biraula,aligarh,1274
khor,boconer,aligarh,1275
khor,chaman nangariyaa,aligarh,1276
khor,chiti,aligarh,1277
khor,choudhana,aligarh,1278
khor,choumha,aligarh,1279
khor,dhumara,aligarh,1280
khor,divahamidampur,aligarh,1281
khor,edalpur,aligarh,1282
khor,fatehgædhee,aligarh,1283
khor,gaudoli,aligarh,1284
khor,gaædhee shyoram,aligarh,1285
khor,gomat,aligarh,1286
khor,irasmailpur,aligarh,1287
khor,jaraara,aligarh,1288
khor,kasisau,aligarh,1289
khor,khedasttu,aligarh,1290
khor,kheæda,aligarh,1291
khor,kiratpur,aligarh,1292
khor,korh rustampur,aligarh,1293
khor,lakshmanagædhee,aligarh,1294
khor,lohagædha,aligarh,1295
khor,madanpur,aligarh,1296
khor,magola,aligarh,1297
khor,mahagaura,aligarh,1298
khor,manpur khurd,aligarh,1299
khor,mathna,aligarh,1300
khor,mau,aligarh,1301
khor,mauhasanpur,aligarh,1302
khor,mirpur dahoda,aligarh,1303
khor,mædhahabibpur,aligarh,1304
khor,nagaula,aligarh,1305
khor,naharaula,aligarh,1306
khor,nandpurpalaan,aligarh,1307
khor,narainpur,aligarh,1308
khor,nayal,aligarh,1309
khor,nayela,aligarh,1310
khor,palaa sallu,aligarh,1311
khor,palaod,aligarh,1312
khor,pipalgaam,aligarh,1313
khor,raajpur,aligarh,1314
khor,rasulpur,aligarh,1315
khor,resri,aligarh,1316
khor,rit,aligarh,1317
khor,sabhapur,aligarh,1318
khor,sahroi,aligarh,1319
khor,sajnaa,aligarh,1320
khor,shivala,aligarh,1321
khor,sopha,aligarh,1322
khor,sujanpur,aligarh,1323
khor,sujapur,aligarh,1324
khor,udaigædhee,aligarh,1325
khor,usaram,aligarh,1326
khor,utwaaraa,aligarh,1327
khor,viharipur,aligarh,1328
khor,virampur,aligarh,1329
lodha,mædaraaq,aligarh,1392
tappal,bouna,aligarh,1431
tappal,k sera,aligarh,1452
tappal,palaseæda,aligarh,1475
akbarpur,chandanpur (pirpur),ambedkar nagar,1515
basakhaari,mo0poor musalmaan,ambedkar nagar,1642
basakhaari,vivipur,ambedkar nagar,1670
bhiti,bangaanv,ambedkar nagar,1677
bhiti,dhama pattee,ambedkar nagar,1691
bhiti,jotoopur,ambedkar nagar,1701
bhiti,kachhasaripattee,ambedkar nagar,1704
bhiti,sajva,ambedkar nagar,1738
bhiti,samantha,ambedkar nagar,1739
jahangirganj,joti,ambedkar nagar,1787
jahangirganj,sarvenicaspur,ambedkar nagar,1820
jahangirganj,udhranpur,ambedkar nagar,1833
jalalpur,karaudi,ambedkar nagar,1885
katehari,raghunathpur samaspur,ambedkar nagar,2000
miyaanw,ahiroli,ambedkar nagar,2020
miyaanw,ajamalpur,ambedkar nagar,2021
miyaanw,amadahi,ambedkar nagar,2022
miyaanw,ammarpur,ambedkar nagar,2023
miyaanw,ashapar,ambedkar nagar,2024
miyaanw,bandipur,ambedkar nagar,2025
miyaanw,barauna,ambedkar nagar,2026
miyaanw,bheekhpur khurd,ambedkar nagar,2027
miyaanw,bhitaouradakshin,ambedkar nagar,2028
miyaanw,bhujaagi,ambedkar nagar,2029
miyaanw,bodara,ambedkar nagar,2030
miyaanw,chakiya,ambedkar nagar,2031
miyaanw,chakura,ambedkar nagar,2032
miyaanw,chaudaa praash,ambedkar nagar,2033
miyaanw,chounpur,ambedkar nagar,2034
miyaanw,daulatabad,ambedkar nagar,2035
miyaanw,dhakha,ambedkar nagar,2036
miyaanw,dinakarpur,ambedkar nagar,2037
miyaanw,dulhoopur kala,ambedkar nagar,2038
miyaanw,fatepur manikpur,ambedkar nagar,2039
miyaanw,garopur,ambedkar nagar,2040
miyaanw,gauribadah,ambedkar nagar,2041
miyaanw,goparichandpur,ambedkar nagar,2042
miyaanw,govindpur,ambedkar nagar,2043
miyaanw,hafizpur,ambedkar nagar,2044
miyaanw,jagadishpurkapileshwar,ambedkar nagar,2045
miyaanw,jameensurajoopur,ambedkar nagar,2046
miyaanw,jolhapur,ambedkar nagar,2047
miyaanw,jotpur,ambedkar nagar,2048
miyaanw,karimnagar,ambedkar nagar,2049
miyaanw,khanpur husainabad,ambedkar nagar,2050
miyaanw,kishnupur kavirahaa,ambedkar nagar,2051
miyaanw,kishundaspur,ambedkar nagar,2052
miyaanw,lakhmipur,ambedkar nagar,2053
miyaanw,laviya,ambedkar nagar,2054
miyaanw,madhavpur,ambedkar nagar,2055
miyaanw,mahamadpur odarpur,ambedkar nagar,2056
miyaanw,mahamudpur,ambedkar nagar,2057
miyaanw,mahuval,ambedkar nagar,2058
miyaanw,majagavaan,ambedkar nagar,2059
miyaanw,makhdumpur,ambedkar nagar,2060
miyaanw,mandaha,ambedkar nagar,2061
miyaanw,marahara,ambedkar nagar,2062
miyaanw,masodha,ambedkar nagar,2063
miyaanw,mathia,ambedkar nagar,2064
miyaanw,mathurarsulpur,ambedkar nagar,2065
miyaanw,miavan,ambedkar nagar,2066
miyaanw,mirzapur,ambedkar nagar,2067
miyaanw,mundehra,ambedkar nagar,2068
miyaanw,mædhaverpur,ambedkar nagar,2069
miyaanw,nevada kala,ambedkar nagar,2070
miyaanw,nimatini,ambedkar nagar,2071
miyaanw,nonhar,ambedkar nagar,2072
miyaanw,nurpurkalan,ambedkar nagar,2073
miyaanw,pakkhanpur,ambedkar nagar,2074
miyaanw,pamipur,ambedkar nagar,2075
miyaanw,parvatpur,ambedkar nagar,2076
miyaanw,paukoli,ambedkar nagar,2077
miyaanw,phulwari,ambedkar nagar,2078
miyaanw,pindoriya,ambedkar nagar,2079
miyaanw,pooraavadalhi,ambedkar nagar,2080
miyaanw,pratappur kalam,ambedkar nagar,2081
miyaanw,rajapur,ambedkar nagar,2082
miyaanw,ramgarh,ambedkar nagar,2083
miyaanw,randuli,ambedkar nagar,2084
miyaanw,ratana,ambedkar nagar,2085
miyaanw,sabargah,ambedkar nagar,2086
miyaanw,sakara dakshin,ambedkar nagar,2087
miyaanw,sehari,ambedkar nagar,2088
miyaanw,semra,ambedkar nagar,2089
miyaanw,shahpur,ambedkar nagar,2090
miyaanw,shekhpur tiwari,ambedkar nagar,2091
miyaanw,shivpal,ambedkar nagar,2092
miyaanw,vallipur,ambedkar nagar,2093
miyaanw,verma,ambedkar nagar,2094
ramnagar,manwarpur sipaah,ambedkar nagar,2145
ramnagar,saudpurladubadih,ambedkar nagar,2168
tanda,dharmoopur,ambedkar nagar,2208
tanda,malikpur,ambedkar nagar,2244
achhalda,aunto,auraiya,2278
achhalda,makarandpur,auraiya,2307
achhalda,purva kanjan (bhurepur),auraiya,2316
ajitmal,babarpur dehaat,auraiya,2338
ajitmal,uu chaa,auraiya,2390
auraiya,ghorera,auraiya,2428
auraiya,janra,auraiya,2433
bhagyanagar,donhi,auraiya,2497
bhagyanagar,seenganpur,auraiya,2538
erava katra,ishwarpur,auraiya,2570
erava katra,nagala hirmi,auraiya,2576
ahiraula,mædana,azamgarh,2775
ahiraula,samasallipur,azamgarh,2790
ajamatgarh,dhaurhara,azamgarh,2830
ajamatgarh,rauja saufanpattee,azamgarh,2874
ataruliya,peædaraa,azamgarh,2931
ataruliya,tædawa,azamgarh,2944
bilariyaganj,gulur bijarawaan,azamgarh,2988
bilariyaganj,tædawa,azamgarh,3040
haraiya,a0 nau0 k0 kita 1,azamgarh,3043
haraiya,a0de0 karkhiya,azamgarh,3044
haraiya,aa0a0 magarvi,azamgarh,3045
haraiya,rechndapattee,azamgarh,3098
jahanaganj,tædawa,azamgarh,3178
mahrajganj,bhatauli,azamgarh,3345
mahrajganj,de0 jadid,azamgarh,3355
mahrajganj,de0tri0poor ima,azamgarh,3358
mahrajganj,hathiyaagædha,azamgarh,3367
mahrajganj,ibrahimpur,azamgarh,3368
mahrajganj,nau0de0ja0ki0pratham,azamgarh,3391
mirzapur,dubkee,azamgarh,3560
mirzapur,hajaaremalpur,azamgarh,3565
mirzapur,mirzapur,azamgarh,3589
mohammadpur,chakmukti,azamgarh,3631
mohammadpur,techmilpur,azamgarh,3675
mohammadpur,thanauli,azamgarh,3676
palhani,balkharov,azamgarh,3727
pawai,bahauddinpur,azamgarh,3802
pawai,bahaudinpur,azamgarh,3803
pawai,dehri,azamgarh,3817
pawai,fatepur shephali,azamgarh,3818
pawai,gaddopur,azamgarh,3820
pawai,haædaya,azamgarh,3826
pawai,naati,azamgarh,3856
pawai,pawai,azamgarh,3864
pawai,ramnagar,azamgarh,3869
phulpur,kanery,azamgarh,3915
rani kii sarai,baædhayaa,azamgarh,3963
rani kii sarai,cædai,azamgarh,3968
sathiyaav,awaædi,azamgarh,4031
sathiyaav,pusæda khalsa,azamgarh,4078
tahabarpur,lakhmanpattee badalray,azamgarh,4138
tahabarpur,mainædhee,azamgarh,4142
tahabarpur,mædaya,azamgarh,4148
tahabarpur,rabhuhiradpur,azamgarh,4161
tahabarpur,solhpur,azamgarh,4168
tahabarpur,soædhari kulkula,azamgarh,4170
taravaan,tandva,azamgarh,4242
thekma,gayaspur,azamgarh,4279
ambiapur,von,badaayun,4390
asafpur,keralavaala,badaayun,4418
dahagavaan,mauhammad ganjagovara,badaayun,4550
dahagavaan,wajidpur,badaayun,4585
dataganj,adharu,badaayun,4586
dataganj,viriyaan dandi,badaayun,4643
gunnaur,afjalpur,badaayun,4644
gunnaur,akbarpur,badaayun,4645
gunnaur,asadpur,badaayun,4646
gunnaur,aurangabad,badaayun,4647
gunnaur,bamanpuri,badaayun,4648
gunnaur,bhaganagar manihar nagala,badaayun,4649
gunnaur,bhakarouli,badaayun,4650
gunnaur,bhonangala,badaayun,4651
gunnaur,chhapra,badaayun,4652
gunnaur,cyle,badaayun,4653
gunnaur,dhanari baaluushankar,badaayun,4654
gunnaur,dhanari lalasinh,badaayun,4655
gunnaur,dinaura,badaayun,4656
gunnaur,faridpur,badaayun,4657
gunnaur,fatehpur,badaayun,4658
gunnaur,gangavas,badaayun,4659
gunnaur,gaædha,badaayun,4660
gunnaur,gaædhayaa,badaayun,4661
gunnaur,gothana,badaayun,4662
gunnaur,gu0 abdulhai,badaayun,4663
gunnaur,gu0daulatakhaa,badaayun,4664
gunnaur,isampur doda,badaayun,4665
gunnaur,jafarpur,badaayun,4666
gunnaur,jagannathpur,badaayun,4667
gunnaur,jayramnagar,badaayun,4668
gunnaur,jaædawaar shahpur,badaayun,4669
gunnaur,kalha,badaayun,4670
gunnaur,kanhua,badaayun,4671
gunnaur,kariya kheæda,badaayun,4672
gunnaur,khajara,badaayun,4673
gunnaur,khalilpur,badaayun,4674
gunnaur,kishanpur shyampur,badaayun,4675
gunnaur,kritiya,badaayun,4676
gunnaur,kuhera,badaayun,4677
gunnaur,lohamai,badaayun,4678
gunnaur,mahamudpur,badaayun,4679
gunnaur,majhauli fatehpur,badaayun,4680
gunnaur,makhdumpur,badaayun,4681
gunnaur,manakpur,badaayun,4682
gunnaur,mirampur,badaayun,4683
gunnaur,mouu aa hasanganj,badaayun,4684
gunnaur,mudaina,badaayun,4685
gunnaur,nurpur,badaayun,4686
gunnaur,pathakpur,badaayun,4687
gunnaur,punvaari,badaayun,4688
gunnaur,rasulpur,badaayun,4689
gunnaur,saujana ahraan,badaayun,4690
gunnaur,saujana muslim,badaayun,4691
gunnaur,saumla gunnaur,badaayun,4692
gunnaur,shahjahanabad,badaayun,4693
gunnaur,shahpur,badaayun,4694
gunnaur,sikaraurabhuæda,badaayun,4695
gunnaur,sirora kaaji,badaayun,4696
gunnaur,sunwar sarai,badaayun,4697
gunnaur,udranpur,badaayun,4698
gunnaur,vaghau,badaayun,4699
gunnaur,vahalolpur,badaayun,4700
gunnaur,vahipur,badaayun,4701
islamnagar,na0 a0 chichauta,badaayun,4734
junavi,ahraula navaji,badaayun,4818
junavi,ajijpur,badaayun,4819
junavi,baghoi,badaayun,4820
junavi,budhuti fajilpur,badaayun,4821
junavi,chavutara,badaayun,4822
junavi,chirvaara,badaayun,4823
junavi,chirvari,badaayun,4824
junavi,dawthra harlaal,badaayun,4825
junavi,dawthra himanchal,badaayun,4826
junavi,dawthra shyaam,badaayun,4827
junavi,devar kanchan,badaayun,4828
junavi,dhanipur,badaayun,4829
junavi,dhaædhavaara,badaayun,4830
junavi,dumaayal,badaayun,4831
junavi,duwari kala,badaayun,4832
junavi,gangurraa,badaayun,4833
junavi,ganoopura,badaayun,4834
junavi,gaædhee vichaula,badaayun,4835
junavi,gehat,badaayun,4836
junavi,ghunsali raja,badaayun,4837
junavi,ghunsali ramasahaay,badaayun,4838
junavi,ghunsali vaahan,badaayun,4839
junavi,hargovindpur,badaayun,4840
junavi,himmatpur,badaayun,4841
junavi,hyderabad,badaayun,4842
junavi,jalalpur,badaayun,4843
junavi,jhukaira,badaayun,4844
junavi,junavi,badaayun,4845
junavi,kadarawaad,badaayun,4846
junavi,kariamyi,badaayun,4847
junavi,kashipur,badaayun,4848
junavi,kiratpur,badaayun,4849
junavi,laharaa nagala shyaam,badaayun,4850
junavi,latifpur toædi,badaayun,4851
junavi,lavar,badaayun,4852
junavi,mahavali muhiuddinpur,badaayun,4853
junavi,mauædoli,badaayun,4854
junavi,may husonpur khaam,badaayun,4855
junavi,mithnpur,badaayun,4856
junavi,mædakawali,badaayun,4857
junavi,nadrauli,badaayun,4858
junavi,nagala ajmeri,badaayun,4859
junavi,nagaliya devi,badaayun,4860
junavi,pataria,badaayun,4861
junavi,patei kysth,badaayun,4862
junavi,pusawali,badaayun,4863
junavi,rajavaana,badaayun,4864
junavi,ramnagar tappa vos,badaayun,4865
junavi,rampura ramraipur,badaayun,4866
junavi,revaaæda,badaayun,4867
junavi,sighonla pukhta,badaayun,4868
junavi,sikarura khadar,badaayun,4869
junavi,simrai,badaayun,4870
junavi,sultangædha,badaayun,4871
junavi,vandarai,badaayun,4872
junavi,vavakkarpur,badaayun,4873
junavi,vijua nagala,badaayun,4874
junavi,vorpur maharaji,badaayun,4875
junavi,vorpur seva,badaayun,4876
kadarchowk,varora,badaayun,4922
rajapura,arthal,badaayun,4982
rajapura,bagædair,badaayun,4983
rajapura,baraura,badaayun,4984
rajapura,bhauyapur,badaayun,4985
rajapura,bhikampur jaagir,badaayun,4986
rajapura,bhikampur joni,badaayun,4987
rajapura,bhiravati,badaayun,4988
rajapura,chandu nagala,badaayun,4989
rajapura,chaoopur donda,badaayun,4990
rajapura,chartubhanpur,badaayun,4991
rajapura,devpura,badaayun,4992
rajapura,devra mura,badaayun,4993
rajapura,dippur donda,badaayun,4994
rajapura,dupta kalaan,badaayun,4995
rajapura,dupta khurd,badaayun,4996
rajapura,fijpur,badaayun,4997
rajapura,hamedpur,badaayun,4998
rajapura,hardaspur,badaayun,4999
rajapura,harfari,badaayun,5000
rajapura,hironi,badaayun,5001
rajapura,ikuna,badaayun,5002
rajapura,jahannpur,badaayun,5003
rajapura,jamalpur donda,badaayun,5004
rajapura,jautora sagarpur,badaayun,5005
rajapura,jijauæda donda,badaayun,5006
rajapura,jiya nagala,badaayun,5007
rajapura,karkora,badaayun,5008
rajapura,keharola pattee garvi,badaayun,5009
rajapura,kesarpur,badaayun,5010
rajapura,kewalpur tipeæda,badaayun,5011
rajapura,khagoopura,badaayun,5012
rajapura,khajura inayat ganj,badaayun,5013
rajapura,kudarasi,badaayun,5014
rajapura,laharaa ratu,badaayun,5015
rajapura,malikpur,badaayun,5016
rajapura,maulanpur donda,badaayun,5017
rajapura,mousaroli,badaayun,5018
rajapura,mukutapur,badaayun,5019
rajapura,muraina girdhaari,badaayun,5020
rajapura,mædhavali,badaayun,5021
rajapura,nijaampur,badaayun,5022
rajapura,nyora,badaayun,5023
rajapura,pahalavaæda,badaayun,5024
rajapura,pavasra,badaayun,5025
rajapura,rajapura,badaayun,5026
rajapura,rajavali,badaayun,5027
rajapura,rampur mohakam,badaayun,5028
rajapura,rasulpur,badaayun,5029
rajapura,roradeep,badaayun,5030
rajapura,sautua,badaayun,5031
rajapura,shahpur,badaayun,5032
rajapura,sidhauli kallu,badaayun,5033
rajapura,sidhula chet singh,badaayun,5034
rajapura,sidhula daulat singh,badaayun,5035
rajapura,sikandarpur khami,badaayun,5036
rajapura,simhavali,badaayun,5037
rajapura,sindhuli purvi,badaayun,5038
rajapura,sirsa,badaayun,5039
rajapura,sondora,badaayun,5040
rajapura,soumari,badaayun,5041
rajapura,tumariya ghat,badaayun,5042
rajapura,tumariya khadar,badaayun,5043
rajapura,udranpur khaagi,badaayun,5044
rajapura,vasantpur donda,badaayun,5045
rajapura,vehat karan,badaayun,5046
rajapura,vymuæda,badaayun,5047
rajapura,vyora,badaayun,5048
sahaswan,athgauna,badaayun,5053
sahaswan,sharaha vadhauli,badaayun,5123
salarpur,auza,badaayun,5140
salarpur,mo0poor vihaar,badaayun,5175
salarpur,wilhat,badaayun,5199
samarer,dhimadpura,badaayun,5207
samarer,k maa,badaayun,5219
samarer,pha rojpur vajha,badaayun,5238
samarer,vora,badaayun,5251
ujhaani,dudunagar,badaayun,5274
ujhaani,saraki,badaayun,5305
bagpat,nauthalaa,bagpat,5472
binauli,chirchita,bagpat,5496
binauli,sisalagædha,bagpat,5529
chhaprauli,lumb,bagpat,5549
chhaprauli,tonæda,bagpat,5559
balha,bauwahi,baharich,5643
balha,cilyton ganj,baharich,5649
fakhrpur,atoder,baharich,5769
fakhrpur,naubasta,baharich,5811
fakhrpur,sigaanv,baharich,5829
fakhrpur,silauta,baharich,5830
fakhrpur,singru,baharich,5831
hujurpur,baheda,baharich,5839
hujurpur,bhausanha,baharich,5846
jaraval,niamatpur,baharich,5954
jaraval,retihata,baharich,5962
kaisarganj,chilava,baharich,5989
kaisarganj,fatepur,baharich,5994
mahsi,kaparaval,baharich,6050
mahsi,magarval,baharich,6057
mahsi,munsari,baharich,6065
mahsi,wansagædhee,baharich,6096
mahsi,welhora,baharich,6097
mihipurava,kunjædawa,baharich,6134
mihipurava,manzara,baharich,6142
nawabganj,doulatpur,baharich,6181
nawabganj,jauta poor,baharich,6193
nawabganj,umariya,baharich,6223
payagpur,peædi,baharich,6266
payagpur,voni,baharich,6286
risia,parasa catholi,baharich,6333
tajawapur,ramagonv,baharich,6452
berua baari,tædawa,baliya,6590
dohrighat,babhanauli,baliya,6653
dohrighat,bachhapar,baliya,6654
dohrighat,baghaanv,baliya,6655
dohrighat,bahuaara,baliya,6656
dohrighat,bakawaa,baliya,6657
dohrighat,baleur,baliya,6658
dohrighat,banakatakala,baliya,6659
dohrighat,bariyarpur,baliya,6660
dohrighat,beur,baliya,6661
dohrighat,bhuædadih,baliya,6662
dohrighat,chakbahaudin,baliya,6663
dohrighat,chakrausraila,baliya,6664
dohrighat,chhitauni,baliya,6665
dohrighat,chodpur,baliya,6666
dohrighat,cædawa - barwa,baliya,6667
dohrighat,diyarabhagar,baliya,6668
dohrighat,duhijaan,baliya,6669
dohrighat,ekil,baliya,6670
dohrighat,ferozepur,baliya,6671
dohrighat,gaura madanpura,baliya,6672
dohrighat,gauri,baliya,6673
dohrighat,gaædhamalpur,baliya,6674
dohrighat,indaur,baliya,6675
dohrighat,januwan,baliya,6676
dohrighat,jethwar,baliya,6677
dohrighat,jitora,baliya,6678
dohrighat,jogesra,baliya,6679
dohrighat,kevara,baliya,6680
dohrighat,kharoni,baliya,6681
dohrighat,khejuri,baliya,6682
dohrighat,khewasæda,baliya,6683
dohrighat,khoroli,baliya,6684
dohrighat,kikoædha,baliya,6685
dohrighat,kirtupur,baliya,6686
dohrighat,kolkalan,baliya,6687
dohrighat,kusura,baliya,6688
dohrighat,kædasar,baliya,6689
dohrighat,lakhanapar,baliya,6690
dohrighat,mahraajpur,baliya,6691
dohrighat,masumpur,baliya,6692
dohrighat,meulikanaspur,baliya,6693
dohrighat,mujahi,baliya,6694
dohrighat,muæderaa,baliya,6695
dohrighat,nanhun,baliya,6696
dohrighat,pahraajpur,baliya,6697
dohrighat,pakædi,baliya,6698
dohrighat,pur,baliya,6699
dohrighat,puraa,baliya,6700
dohrighat,raksadainiya,baliya,6701
dohrighat,rampur kala,baliya,6702
dohrighat,rampur nan0,baliya,6703
dohrighat,ratsi mehamapur,baliya,6704
dohrighat,rengha,baliya,6705
dohrighat,saarangpur,baliya,6706
dohrighat,sahulaai,baliya,6707
dohrighat,saraaq,baliya,6708
dohrighat,sarayaan,baliya,6709
dohrighat,seria,baliya,6710
dohrighat,shahpur,baliya,6711
dohrighat,sonadih,baliya,6712
dohrighat,suhawal,baliya,6713
dohrighat,surahia,baliya,6714
dohrighat,tandva,baliya,6715
dohrighat,tiwari,baliya,6716
dohrighat,ukchhi,baliya,6717
dohrighat,vishhar,baliya,6718
dubahæda,akhaar,baliya,6719
dubahæda,amghat,baliya,6720
dubahæda,aædaraa,baliya,6721
dubahæda,babhanauli,baliya,6722
dubahæda,bagholi,baliya,6723
dubahæda,balipur,baliya,6724
dubahæda,bandhuchak,baliya,6725
dubahæda,basaarikpaah,baliya,6726
dubahæda,bharasæda,baliya,6727
dubahæda,bhuili,baliya,6728
dubahæda,chaataa,baliya,6729
dubahæda,chandrapura,baliya,6730
dubahæda,chhapra,baliya,6731
dubahæda,diuli,baliya,6732
dubahæda,dopahi,baliya,6733
dubahæda,dubahæda,baliya,6734
dubahæda,duumari,baliya,6735
dubahæda,gajiyapur,baliya,6736
dubahæda,ghoædahara,baliya,6737
dubahæda,haripur,baliya,6738
dubahæda,jamuna,baliya,6739
dubahæda,janaaædi,baliya,6740
dubahæda,kachuva,baliya,6741
dubahæda,kubar jasaanv,baliya,6742
dubahæda,madhopur,baliya,6743
dubahæda,majhauli,baliya,6744
dubahæda,mohanchhapra,baliya,6745
dubahæda,nagavaan,baliya,6746
dubahæda,ojha kachuva,baliya,6747
dubahæda,ojhawaliya,baliya,6748
dubahæda,patakhauli,baliya,6749
dubahæda,phulvariyaa,baliya,6750
dubahæda,pipara,baliya,6751
dubahæda,raghunathpur,baliya,6752
dubahæda,rampur titahi,baliya,6753
dubahæda,rustampur,baliya,6754
dubahæda,sabarubaandh,baliya,6755
dubahæda,sahodara,baliya,6756
dubahæda,sahrat paali,baliya,6757
dubahæda,salempur,baliya,6758
dubahæda,sarayaan,baliya,6759
dubahæda,sher,baliya,6760
dubahæda,shitaldavani,baliya,6761
dubahæda,shivpur dier nambari,baliya,6762
dubahæda,shivpur dier namvari,baliya,6763
dubahæda,simari,baliya,6764
dubahæda,sonpur kala,baliya,6765
dubahæda,suremanpur,baliya,6766
dubahæda,tagharauli,baliya,6767
dubahæda,udaipura,baliya,6768
dubahæda,udhodawani,baliya,6769
dubahæda,vishunpura,baliya,6770
fatahpur mandav,beruabari,baliya,6771
fatahpur mandav,chitvissav khurd,baliya,6772
fatahpur mandav,devdih,baliya,6773
fatahpur mandav,devraar,baliya,6774
fatahpur mandav,dhanavathi,baliya,6775
fatahpur mandav,duhimusi,baliya,6776
fatahpur mandav,durgipur,baliya,6777
fatahpur mandav,halpur,baliya,6778
fatahpur mandav,hardanpur,baliya,6779
fatahpur mandav,janpur muædayari,baliya,6780
fatahpur mandav,jodopur,baliya,6781
fatahpur mandav,jotpura,baliya,6782
fatahpur mandav,karmmar,baliya,6783
fatahpur mandav,kevatlia choube,baliya,6784
fatahpur mandav,kevatliakala,baliya,6785
fatahpur mandav,majhosaghurd,baliya,6786
fatahpur mandav,malhauva,baliya,6787
fatahpur mandav,mangalpura,baliya,6788
fatahpur mandav,midda,baliya,6789
fatahpur mandav,muædayari,baliya,6790
fatahpur mandav,narainpur,baliya,6791
fatahpur mandav,parvatpur,baliya,6792
